Year,Month,Temp,Rain
2014,1,-8,13.36
2014,2,-8,3.72
2014,3,-4,18.92
2014,4,4,14.88
2014,5,11,44.73
2014,6,17,30.25
2014,7,19,48.68
2014,8,19,34.83
2014,9,17,26.88
2014,10,11,25.85
2014,11,3,15.11
2014,12,0,13.07
2015,1,-7,6.97
2015,2,-12,11.05
2015,3,-2,12.16
2015,4,5,28.7
2015,5,12,39.8
2015,6,16,38.46
2015,7,20,42.02
2015,8,20,58.03
2015,9,19,24.93
2015,10,11,28.24
2015,11,8,18.8
2015,12,5,11.32
2016,1,-2,14.41
2016,2,-2,7.8
2016,3,2,34.61
2016,4,4,27.75
2016,5,12,44.77
2016,6,18,22.9
2016,7,21,43.42
2016,8,23,46.54
2016,9,19,22.14
2016,10,12,26.9
2016,11,8,20.26
2016,12,-1,20.33
2017,1,-1,20.33
2017,2,0,12.29
2017,3,-1,23.54
2017,4,8,29.48
2017,5,10,47.9
2017,6,17,80.91
2017,7,21,51.36
2017,8,21,10.27
2017,9,19,13.58
2017,10,14,25.19
2017,11,5,8.18
2017,12,-3,9.98
2018,1,-5,15.46
2018,2,-2,10.09
2018,3,1,12.29
2018,4,5,37.23
2018,5,14,16.04
2018,6,18,14.34
2018,7,24,41.47
2018,8,24,43.97
2018,9,21,21.55
2018,10,11,23.58
2018,11,3,23.42
2018,12,2,25.49
2019,1,-7,63.4
2019,2,-4,64.2
2019,3,1,50
2019,4,8,94.3
2019,5,14,77.5
2019,6,19,79
2019,7,25,78.6
2019,8,23,57
2019,9,20,64.8
2019,10,13,158.7
2019,11,2,54.9
2019,12,0,57
2020,1,-1,136
2020,2,-2,48.2
2020,3,4,59.8
2020,4,7,68.5
2020,5,14,107.8
2020,6,22,49.8
2020,7,27,87.3
,,,
,,,
,,,
,,,
,,,
